depArr,distance,angle_error,distance_long,operation_mode,angle_sum,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr,Pressure,VisibilityInMeters,TemperatureInCelsius,WindSpeedInMPS,isRain,isSnow,isDrizzle,isFog,isMist,isHaze,isHail,flightNumber,airline,aircraftModel,AvgSpdLast5Dep,AvgSpdLast5Arr,AvgSpdLast5,AvgSpdLast10Dep,AvgSpdLast10Arr,AvgSpdLast10,TaxiTime
1,1745.61256475,0,836.489342049,1,565.7,0,0,2,0,0,0,4,0,30.12,10000.0,10.75,2.574,0,0,0,0,0,0,0,"KL1093","KLM","B739",119.7037741,365.262608726,175.679183782,180.15698754,418.252477739,200.999758568,3.9
0,1860.91458557,2,949.049037893,1,347.52,0,0,0,0,0,0,0,0,30.12,10000.0,10.25,4.1184,0,0,0,0,0,0,0,"FR7542","RYR","B738",205.079136883,473.352340139,348.907895092,165.827150756,415.173390149,368.203032581,9.9
1,1677.23896287,0,1133.74252001,1,530.73,0,0,0,0,0,0,0,0,30.12,10000.0,10.5,5.6628,0,0,0,0,0,0,0,"FR556","RYR","B738",136.290319107,440.351450803,351.502350986,184.644568668,431.600212781,258.825481785,4.96666666667
1,1221.16742733,0,617.396513777,1,405.36,0,0,0,0,0,0,2,0,30.12,10000.0,10.5,5.6628,0,0,0,0,0,0,0,"EI210","EIN","A320",205.079136883,426.887034747,273.14765388,165.827150756,414.233125195,315.983085815,2.25
1,1674.76168463,0,0,1,453.13,0,0,0,0,0,0,0,0,30.15,8000.0,8.0,3.0888,0,0,1,0,0,0,0,"PK701","PIA","B77W",72.415254589,324.685057451,324.685057451,72.415254589,327.621026586,327.621026586,4.63333333333
1,1736.72839928,0,0,1,673.23,0,0,0,1,0,0,2,1,30.12,10000.0,10.75,2.574,0,0,0,0,0,0,0,"LH946","DLH","A320",119.7037741,356.994440159,251.121834401,180.15698754,409.816393007,228.459699616,2.86666666667
0,1746.98802725,0,631.494038414,1,292.69,1,0,0,0,1,0,0,0,30.15,10000.0,10.0,2.574,0,0,0,0,0,0,0,"SN2178","BEL","A319",150.658095719,536.471091929,287.730159723,177.868616301,496.958749516,343.564593824,7.8
0,1817.44348924,0,0,1,505.21,0,0,0,0,0,0,0,0,30.12,10000.0,10.0,3.0888,0,0,0,0,0,0,0,"BA1403","BAW","A320",211.689672597,536.471091929,470.206851146,173.989995852,496.958749516,400.48179893,11.5166666667
1,1917.22573376,2,1121.78393453,1,657.78,0,0,2,0,0,0,5,0,30.12,10000.0,10.75,2.574,0,0,0,0,0,0,0,"FR3247","RYR","B738",126.575164629,401.579215643,126.575164629,178.648627441,422.964058137,204.887105111,4.91666666667
0,1699.68289947,0,583.754620614,1,293.31,0,0,0,0,0,0,0,0,30.15,10000.0,10.0,2.574,0,0,0,0,0,0,0,"U21801","EZY","A320",159.404552907,536.471091929,347.999278016,173.885745708,496.958749516,383.575628423,11.9166666667
0,1984.14988688,2,866.249197354,1,471.72,0,0,0,0,0,0,0,0,30.15,10000.0,9.0,1.0296,0,0,0,0,0,0,0,"FR3554","RYR","B738",157.858426468,536.471091929,245.563516386,184.49389624,496.958749516,313.249613174,8.75
0,1804.27970616,2,0,1,577.16,1,0,0,0,2,0,0,0,30.15,10000.0,9.0,1.0296,0,0,0,0,0,0,0,"FR1557","RYR","B738",170.857839255,536.471091929,170.857839255,179.182050147,496.958749516,316.733187977,8.01666666667
0,722.954086062,0,558.402286347,1,188.27,2,0,0,0,2,0,0,0,30.15,10000.0,9.0,1.0296,0,0,0,0,0,0,0,"LH2503","DLH","A320",202.055595462,536.471091929,202.055595462,180.730074184,496.958749516,275.027436739,4.43333333333
0,2394.90699983,0,1078.7794131,1,480.93,2,0,0,0,1,0,0,0,30.15,10000.0,9.0,1.0296,0,0,0,0,0,0,0,"LH947","DLH","A320",164.050138566,536.471091929,164.050138566,187.869905581,496.958749516,317.128494856,12.4833333333
1,1910.34999486,0,1254.7549587,1,600.85,0,0,1,0,0,0,2,0,30.12,10000.0,11.0,3.6036,0,0,0,0,0,0,0,"FR4051","RYR","B738",230.722090252,422.848974759,286.90097953,180.770487798,434.054248022,203.387307214,4.71666666667
0,1944.93407842,2,866.249197354,1,604.02,0,1,0,0,0,1,0,0,30.12,10000.0,9.0,3.0888,0,0,0,0,0,0,0,"IB3693","IBS","A320",206.143918946,395.624331141,259.425432939,178.401007332,447.178439734,215.141636097,9.06666666667
1,919.77397045,0,0,1,467.06,0,0,0,0,0,0,0,1,30.12,10000.0,10.0,3.0888,0,0,0,0,0,0,0,"U21834","EZY","A320",211.689672597,518.153932458,380.935709963,173.989995852,472.520483602,364.921802527,1.45
1,1221.16742733,0,617.396513777,1,405.36,0,0,0,0,0,0,1,0,30.12,10000.0,10.5,5.6628,0,0,0,0,0,0,0,"U21986","EZY","A319",205.079136883,457.446407102,311.023192999,165.827150756,411.354507914,331.262771992,2.31666666667
1,1209.33275738,0,527.218463518,1,317.32,0,0,0,0,0,0,0,0,30.12,10000.0,10.25,4.1184,0,0,0,0,0,0,0,"U21846","EZY","A319",211.689672597,473.352340139,327.999864985,173.989995852,415.173390149,301.237446922,1.88333333333
0,1949.33907492,2,866.249197354,1,471.18,0,0,0,0,0,0,0,0,30.12,10000.0,9.0,3.0888,0,0,0,0,0,0,0,"FR4052","RYR","B738",204.252311757,395.624331141,257.315175428,181.055369112,447.178439734,229.685385445,8.8
0,1819.55872878,2,681.189229863,1,431.93,1,0,0,0,1,0,0,0,30.12,10000.0,9.0,3.0888,0,0,0,0,0,0,0,"U21835","EZY","A320",203.203475136,395.624331141,269.003866174,183.626806851,447.178439734,237.57389256,13.15
0,1878.55175707,2,530.88914334,1,607.21,3,0,0,0,2,0,0,0,30.12,10000.0,9.0,2.574,0,0,0,0,0,0,0,"BA1405","BAW","A320",192.507700592,395.624331141,234.999579925,181.682769924,447.178439734,229.013558667,14.7333333333
1,1775.90529717,0,1091.69621946,1,486.23,0,0,0,1,0,0,0,1,30.12,10000.0,10.0,3.0888,0,0,0,0,0,0,0,"FR3219","RYR","B738",211.689672597,480.609960112,419.15197883,173.989995852,467.497454137,346.149816355,4.0
0,1726.46678437,0,817.745901882,1,403.51,1,0,0,0,2,0,0,0,30.12,10000.0,9.0,2.574,0,0,0,0,0,0,0,"U2137","EZY","A319",172.995188054,395.624331141,192.225580688,187.525391758,447.178439734,219.087911252,6.45
1,1701.18232788,0,655.085138283,1,386.24,0,0,0,0,0,0,0,0,30.12,10000.0,10.0,5.148,0,0,0,0,0,0,0,"TOM2203","TOM","B752",119.662798379,439.118837875,119.873634898,118.118304452,429.80594272,155.602153172,4.01666666667
0,1899.75679395,0,1078.7794131,1,378.06,3,0,0,0,3,0,0,0,30.12,10000.0,9.0,2.574,0,0,0,0,0,0,0,"LX381","SWR","A320",193.914571785,395.624331141,193.914571785,200.029245365,447.178439734,226.670002362,13.9833333333
0,2140.20668592,2,1164.59116448,1,587.88,4,0,0,0,4,0,0,0,30.12,10000.0,9.0,2.574,0,0,0,0,0,0,0,"VY1397","VLG","A320",178.183344241,395.624331141,178.183344241,191.217827999,447.178439734,217.749259835,14.5333333333
0,2792.90590593,0,771.178403464,1,836.28,4,0,0,0,4,0,0,0,30.12,10000.0,9.0,2.574,0,0,0,0,0,0,0,"BY9013","TOM","B738",163.332569034,395.624331141,163.332569034,183.268022085,447.178439734,216.168217604,14.9
1,1447.33574986,0,0,1,386.24,0,0,0,2,0,0,0,2,30.12,10000.0,9.0,3.0888,0,0,0,0,0,0,0,"BA1402","BAW","A321",206.143918946,432.574733318,245.950241817,178.401007332,456.592346715,205.000190191,5.58333333333
0,2060.36769098,0,1078.7794131,1,331.07,0,0,0,0,0,0,0,0,30.12,10000.0,10.0,2.0592,0,0,0,0,0,0,0,"PK702","PIA","B77W",173.147341896,395.624331141,173.147341896,182.827521244,447.178439734,204.073460911,9.65
0,1605.75219494,0,1071.08134162,1,224.32,1,0,0,0,1,0,0,0,30.12,10000.0,10.0,2.0592,0,0,0,0,0,0,0,"U21895","EZY","A320",190.348560368,395.624331141,190.348560368,181.671874211,447.178439734,191.287070528,9.53333333333
0,1860.91458557,2,949.049037893,1,347.52,0,1,0,0,0,1,0,0,30.12,10000.0,10.0,2.0592,0,0,0,0,0,0,0,"FR3222","RYR","B738",170.501815574,331.535924129,166.202886632,182.208193679,424.844928293,172.193115436,8.8
1,2122.20531498,0,655.085138283,1,555.78,0,0,0,1,0,0,0,1,30.15,10000.0,9.0,1.0296,0,0,0,0,0,0,0,"EW1346","EWG","A320",206.143918946,492.724749093,223.027537409,178.401007332,483.038544616,234.295526897,6.21666666667
